Plot Title: 20376534,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 20376534, SEN S/N: 20376534)",Coupler Detached (LGR S/N: 20376534),Coupler Attached (LGR S/N: 20376534),Host Connected (LGR S/N: 20376534),Stopped (LGR S/N: 20376534),End Of File (LGR S/N: 20376534)
362,07/20/18 06:36:31 AM,77.05,,,,,
363,07/20/18 08:36:31 AM,77.749,,,,,
364,07/20/18 10:36:31 AM,80.559,,,,,
365,07/20/18 12:36:31 PM,80.559,,,,,
366,07/20/18 02:36:31 PM,82.33,,,,,
367,07/20/18 04:36:31 PM,80.735,,,,,
368,07/20/18 06:36:31 PM,80.382,,,,,
369,07/20/18 08:36:31 PM,79.326,,,,,
370,07/20/18 10:36:31 PM,78.449,,,,,
371,07/21/18 12:36:31 AM,77.749,,,,,
372,07/21/18 02:36:31 AM,77.4,,,,,
373,07/21/18 04:36:31 AM,77.05,,,,,
374,07/21/18 06:36:31 AM,76.703,,,,,
375,07/21/18 08:36:31 AM,77.225,,,,,
376,07/21/18 10:36:31 AM,80.382,,,,,
377,07/21/18 12:36:31 PM,81.442,,,,,
378,07/21/18 02:36:31 PM,83.935,,,,,
379,07/21/18 04:36:31 PM,87.733,,,,,
380,07/21/18 06:36:31 PM,84.474,,,,,
381,07/21/18 08:36:31 PM,81.797,,,,,
382,07/21/18 10:36:31 PM,80.029,,,,,
383,07/22/18 12:36:31 AM,78.975,,,,,
384,07/22/18 02:36:31 AM,78.274,,,,,
385,07/22/18 04:36:31 AM,77.225,,,,,
386,07/22/18 06:36:31 AM,76.876,,,,,
387,07/22/18 08:36:31 AM,77.923,,,,,
388,07/22/18 10:36:31 AM,80.029,,,,,
389,07/22/18 12:36:31 PM,86.823,,,,,
390,07/22/18 02:36:31 PM,90.124,,,,,
391,07/22/18 04:36:31 PM,89.2,,,,,
392,07/22/18 06:36:31 PM,86.459,,,,,
393,07/22/18 08:36:31 PM,83.579,,,,,
394,07/22/18 10:36:31 PM,81.975,,,,,
395,07/23/18 12:36:31 AM,80.735,,,,,
396,07/23/18 02:36:31 AM,79.678,,,,,
397,07/23/18 04:36:31 AM,78.975,,,,,
398,07/23/18 06:36:31 AM,78.449,,,,,
399,07/23/18 08:36:31 AM,79.326,,,,,
400,07/23/18 10:36:31 AM,80.559,,,,,
401,07/23/18 12:36:31 PM,83.935,,,,,
402,07/23/18 02:36:31 PM,87.004,,,,,
403,07/23/18 04:36:31 PM,85.554,,,,,
404,07/23/18 06:36:31 PM,84.115,,,,,
405,07/23/18 08:36:31 PM,81.975,,,,,
406,07/23/18 10:36:31 PM,80.735,,,,,
407,07/24/18 12:36:31 AM,79.678,,,,,
408,07/24/18 02:36:31 AM,79.502,,,,,
409,07/24/18 04:36:31 AM,78.274,,,,,
410,07/24/18 06:36:31 AM,78.274,,,,,
411,07/24/18 08:36:31 AM,78.098,,,,,
412,07/24/18 10:36:31 AM,77.923,,,,,
413,07/24/18 12:36:31 PM,77.923,,,,,
414,07/24/18 02:36:31 PM,78.975,,,,,
415,07/24/18 04:36:31 PM,81.266,,,,,
416,07/24/18 06:36:31 PM,81.09,,,,,
417,07/24/18 08:36:31 PM,79.326,,,,,
418,07/24/18 10:36:31 PM,78.274,,,,,
419,07/25/18 12:36:31 AM,77.923,,,,,
420,07/25/18 02:36:31 AM,77.749,,,,,
421,07/25/18 04:36:31 AM,76.876,,,,,
422,07/25/18 06:36:31 AM,76.528,,,,,
423,07/25/18 08:36:31 AM,77.225,,,,,
424,07/25/18 10:36:31 AM,78.098,,,,,
425,07/25/18 12:36:31 PM,79.853,,,,,
426,07/25/18 02:36:31 PM,87.368,,,,,
427,07/25/18 04:36:31 PM,87.004,,,,,
428,07/25/18 06:36:31 PM,83.399,,,,,
429,07/25/18 08:36:31 PM,80.382,,,,,
430,07/25/18 10:36:31 PM,78.098,,,,,
431,07/26/18 12:36:31 AM,77.574,,,,,
432,07/26/18 02:36:31 AM,76.876,,,,,
433,07/26/18 04:36:31 AM,76.528,,,,,
434,07/26/18 06:36:31 AM,75.832,,,,,
435,07/26/18 08:36:31 AM,76.181,,,,,
436,07/26/18 10:36:31 AM,78.624,,,,,
437,07/26/18 12:36:31 PM,89.017,,,,,
438,07/26/18 02:36:31 PM,92.926,,,,,
439,07/26/18 04:36:31 PM,89.755,,,,,
440,07/26/18 06:36:31 PM,86.823,,,,,
441,07/26/18 08:36:31 PM,83.579,,,,,
442,07/26/18 10:36:31 PM,81.442,,,,,
443,07/27/18 12:36:31 AM,80.206,,,,,
444,07/27/18 02:36:31 AM,78.975,,,,,
445,07/27/18 04:36:31 AM,78.624,,,,,
446,07/27/18 06:36:31 AM,77.749,,,,,
447,07/27/18 08:36:31 AM,79.151,,,,,
448,07/27/18 10:36:31 AM,79.326,,,,,
449,07/27/18 12:36:31 PM,81.621,,,,,
450,07/27/18 02:36:31 PM,88.282,,,,,
451,07/27/18 04:36:31 PM,86.459,,,,,
452,07/27/18 06:36:31 PM,84.474,,,,,
453,07/27/18 08:36:31 PM,81.797,,,,,
454,07/27/18 10:36:31 PM,80.382,,,,,
455,07/28/18 12:36:31 AM,79.678,,,,,
456,07/28/18 02:36:31 AM,78.975,,,,,
457,07/28/18 04:36:31 AM,78.274,,,,,
458,07/28/18 06:36:31 AM,78.274,,,,,
459,07/28/18 08:36:31 AM,79.326,,,,,
460,07/28/18 10:36:31 AM,81.621,,,,,
461,07/28/18 12:36:31 PM,82.508,,,,,
462,07/28/18 02:36:31 PM,85.014,,,,,
463,07/28/18 04:36:31 PM,87.004,,,,,
464,07/28/18 06:36:31 PM,84.115,,,,,
465,07/28/18 08:36:31 PM,81.797,,,,,
466,07/28/18 10:36:31 PM,80.559,,,,,
467,07/29/18 12:36:31 AM,79.853,,,,,
