"Plot Title: 20376532"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376532, SEN S/N: 20376532)","Host Connected (LGR S/N: 20376532)","Coupler Detached (LGR S/N: 20376532)","Bad Battery (LGR S/N: 20376532)","Coupler Attached (LGR S/N: 20376532)","Stopped (LGR S/N: 20376532)","End Of File (LGR S/N: 20376532)"
346,07/19/19 12:57:09 AM,26.488,,,,,,
347,07/19/19 02:57:09 AM,25.902,,,,,,
348,07/19/19 04:57:09 AM,25.610,,,,,,
349,07/19/19 06:57:09 AM,25.416,,,,,,
350,07/19/19 08:57:09 AM,26.000,,,,,,
351,07/19/19 10:57:09 AM,28.655,,,,,,
352,07/19/19 12:57:09 PM,31.778,,,,,,
353,07/19/19 02:57:09 PM,31.983,,,,,,
354,07/19/19 04:57:09 PM,31.268,,,,,,
355,07/19/19 06:57:09 PM,29.853,,,,,,
356,07/19/19 08:57:09 PM,28.456,,,,,,
357,07/19/19 10:57:09 PM,27.567,,,,,,
358,07/20/19 12:57:09 AM,26.977,,,,,,
359,07/20/19 02:57:09 AM,26.585,,,,,,
360,07/20/19 04:57:09 AM,25.902,,,,,,
361,07/20/19 06:57:09 AM,25.513,,,,,,
362,07/20/19 08:57:09 AM,26.097,,,,,,
363,07/20/19 10:57:09 AM,28.853,,,,,,
364,07/20/19 12:57:09 PM,31.370,,,,,,
365,07/20/19 02:57:09 PM,31.983,,,,,,
366,07/20/19 04:57:09 PM,31.268,,,,,,
367,07/20/19 06:57:09 PM,29.853,,,,,,
368,07/20/19 08:57:09 PM,28.258,,,,,,
369,07/20/19 10:57:09 PM,27.272,,,,,,
370,07/21/19 12:57:09 AM,26.781,,,,,,
371,07/21/19 02:57:09 AM,26.390,,,,,,
372,07/21/19 04:57:09 AM,25.805,,,,,,
373,07/21/19 06:57:09 AM,25.319,,,,,,
374,07/21/19 08:57:09 AM,26.000,,,,,,
375,07/21/19 10:57:09 AM,28.953,,,,,,
376,07/21/19 12:57:09 PM,30.760,,,,,,
377,07/21/19 02:57:09 PM,31.880,,,,,,
378,07/21/19 04:57:09 PM,31.268,,,,,,
379,07/21/19 06:57:09 PM,29.853,,,,,,
