"Plot Title: 20376492"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376492, SEN S/N: 20376492)","Host Connected (LGR S/N: 20376492)","Coupler Detached (LGR S/N: 20376492)","Bad Battery (LGR S/N: 20376492)","Coupler Attached (LGR S/N: 20376492)","End Of File (LGR S/N: 20376492)"
319,07/21/19 05:09:42 PM,31.166,,,,,
320,07/21/19 07:09:42 PM,28.655,,,,,
321,07/21/19 09:09:42 PM,27.173,,,,,
322,07/21/19 11:09:42 PM,26.488,,,,,
323,07/22/19 01:09:42 AM,26.097,,,,,
324,07/22/19 03:09:42 AM,25.708,,,,,
325,07/22/19 05:09:42 AM,25.319,,,,,
326,07/22/19 07:09:42 AM,25.028,,,,,
327,07/22/19 09:09:42 AM,26.097,,,,,
328,07/22/19 11:09:42 AM,27.862,,,,,
329,07/22/19 01:09:42 PM,30.760,,,,,
330,07/22/19 03:09:42 PM,31.574,,,,,
331,07/22/19 05:09:42 PM,31.064,,,,,
332,07/22/19 07:09:42 PM,27.764,,,,,
333,07/22/19 09:09:42 PM,26.488,,,,,
334,07/22/19 11:09:42 PM,26.000,,,,,
335,07/23/19 01:09:42 AM,25.805,,,,,
336,07/23/19 03:09:42 AM,25.513,,,,,
337,07/23/19 05:09:42 AM,25.125,,,,,
338,07/23/19 07:09:42 AM,24.835,,,,,
339,07/23/19 09:09:42 AM,26.195,,,,,
340,07/23/19 11:09:42 AM,28.258,,,,,
341,07/23/19 01:09:42 PM,30.457,,,,,
342,07/23/19 03:09:42 PM,31.166,,,,,
343,07/23/19 05:09:42 PM,23.677,,,,,
344,07/23/19 07:09:42 PM,23.388,,,,,
345,07/23/19 09:09:42 PM,23.388,,,,,
346,07/23/19 11:09:42 PM,23.004,,,,,
347,07/24/19 01:09:42 AM,22.621,,,,,
348,07/24/19 03:09:42 AM,22.238,,,,,
349,07/24/19 05:09:42 AM,21.855,,,,,
350,07/24/19 07:09:42 AM,21.569,,,,,
351,07/24/19 09:09:42 AM,22.908,,,,,
352,07/24/19 11:09:42 AM,25.125,,,,,
353,07/24/19 01:09:42 PM,28.555,,,,,
354,07/24/19 03:09:42 PM,29.552,,,,,
355,07/24/19 05:09:42 PM,28.258,,,,,
356,07/24/19 07:09:42 PM,26.585,,,,,
357,07/24/19 09:09:42 PM,25.125,,,,,
358,07/24/19 11:09:42 PM,23.966,,,,,
359,07/25/19 01:09:42 AM,23.100,,,,,
360,07/25/19 03:09:42 AM,22.525,,,,,
361,07/25/19 05:09:42 AM,22.046,,,,,
362,07/25/19 07:09:42 AM,21.664,,,,,
363,07/25/19 09:09:42 AM,22.812,,,,,
364,07/25/19 11:09:42 AM,24.835,,,,,
365,07/25/19 01:09:42 PM,28.555,,,,,
366,07/25/19 03:09:42 PM,28.754,,,,,
367,07/25/19 05:09:42 PM,28.555,,,,,
368,07/25/19 07:09:42 PM,26.097,,,,,
369,07/25/19 09:09:42 PM,24.351,,,,,
370,07/25/19 11:09:42 PM,23.388,,,,,
371,07/26/19 01:09:42 AM,22.812,,,,,
372,07/26/19 03:09:42 AM,22.429,,,,,
