"","site","date","prec","date_parsed","month","day","year"
"337","ME","2015-12-03",0,2015-12-03,12,3,2015
"338","ME","2015-12-04",0,2015-12-04,12,4,2015
"339","ME","2015-12-05",0,2015-12-05,12,5,2015
"340","ME","2015-12-06",0.6495,2015-12-06,12,6,2015
"341","ME","2015-12-07",17.5473,2015-12-07,12,7,2015
"342","ME","2015-12-08",0,2015-12-08,12,8,2015
"343","ME","2015-12-09",0.807,2015-12-09,12,9,2015
"344","ME","2015-12-10",0,2015-12-10,12,10,2015
"345","ME","2015-12-11",0,2015-12-11,12,11,2015
"346","ME","2015-12-12",0,2015-12-12,12,12,2015
"347","ME","2015-12-13",0,2015-12-13,12,13,2015
"348","ME","2015-12-14",5.0388,2015-12-14,12,14,2015
"349","ME","2015-12-15",0,2015-12-15,12,15,2015
"350","ME","2015-12-16",0,2015-12-16,12,16,2015
"351","ME","2015-12-17",4.2613,2015-12-17,12,17,2015
"352","ME","2015-12-18",1.7124,2015-12-18,12,18,2015
"353","ME","2015-12-19",0,2015-12-19,12,19,2015
"354","ME","2015-12-20",0,2015-12-20,12,20,2015
"355","ME","2015-12-21",0,2015-12-21,12,21,2015
"356","ME","2015-12-22",20.362,2015-12-22,12,22,2015
"357","ME","2015-12-23",43.9814,2015-12-23,12,23,2015
"358","ME","2015-12-24",0.5413,2015-12-24,12,24,2015
"359","ME","2015-12-25",0.2756,2015-12-25,12,25,2015
"360","ME","2015-12-26",0,2015-12-26,12,26,2015
"361","ME","2015-12-27",0,2015-12-27,12,27,2015
"362","ME","2015-12-28",12.5872,2015-12-28,12,28,2015
"363","ME","2015-12-29",0.6397,2015-12-29,12,29,2015
"364","ME","2015-12-30",12.0951,2015-12-30,12,30,2015
"365","ME","2015-12-31",0.5724,2015-12-31,12,31,2015
"366","ME","2016-01-01",0.9,2016-01-01,1,1,2016
"367","ME","2016-01-02",0,2016-01-02,1,2,2016
"368","ME","2016-01-03",0,2016-01-03,1,3,2016
"369","ME","2016-01-04",0,2016-01-04,1,4,2016
