"Plot Title: 20376493"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376493, SEN S/N: 20376493)","Coupler Detached (LGR S/N: 20376493)","Bad Battery (LGR S/N: 20376493)","Coupler Attached (LGR S/N: 20376493)","End Of File (LGR S/N: 20376493)"
286,07/18/19 09:47:45 AM,26.488,,,,
287,07/18/19 11:47:45 AM,36.187,,,,
288,07/18/19 01:47:45 PM,39.502,,,,
289,07/18/19 03:47:45 PM,31.880,,,,
290,07/18/19 05:47:45 PM,32.291,,,,
291,07/18/19 07:47:45 PM,28.754,,,,
292,07/18/19 09:47:45 PM,26.488,,,,
293,07/18/19 11:47:45 PM,25.805,,,,
294,07/19/19 01:47:45 AM,25.319,,,,
295,07/19/19 03:47:45 AM,24.835,,,,
296,07/19/19 05:47:45 AM,24.351,,,,
297,07/19/19 07:47:45 AM,24.835,,,,
298,07/19/19 09:47:45 AM,26.390,,,,
299,07/19/19 11:47:45 AM,31.166,,,,
300,07/19/19 01:47:45 PM,38.602,,,,
301,07/19/19 03:47:45 PM,31.880,,,,
302,07/19/19 05:47:45 PM,28.357,,,,
303,07/19/19 07:47:45 PM,26.585,,,,
304,07/19/19 09:47:45 PM,25.805,,,,
305,07/19/19 11:47:45 PM,25.416,,,,
306,07/20/19 01:47:45 AM,24.738,,,,
307,07/20/19 03:47:45 AM,24.351,,,,
308,07/20/19 05:47:45 AM,23.869,,,,
309,07/20/19 07:47:45 AM,24.158,,,,
310,07/20/19 09:47:45 AM,26.097,,,,
311,07/20/19 11:47:45 AM,35.542,,,,
312,07/20/19 01:47:45 PM,39.389,,,,
313,07/20/19 03:47:45 PM,31.472,,,,
314,07/20/19 05:47:45 PM,28.655,,,,
315,07/20/19 07:47:45 PM,27.567,,,,
316,07/20/19 09:47:45 PM,26.292,,,,
317,07/20/19 11:47:45 PM,25.610,,,,
318,07/21/19 01:47:45 AM,25.222,,,,
319,07/21/19 03:47:45 AM,24.641,,,,
320,07/21/19 05:47:45 AM,24.062,,,,
321,07/21/19 07:47:45 AM,24.255,,,,
322,07/21/19 09:47:45 AM,26.292,,,,
323,07/21/19 11:47:45 AM,36.946,,,,
324,07/21/19 01:47:45 PM,40.645,,,,
325,07/21/19 03:47:45 PM,31.370,,,,
326,07/21/19 05:47:45 PM,31.268,,,,
327,07/21/19 07:47:45 PM,28.159,,,,
328,07/21/19 09:47:45 PM,26.488,,,,
329,07/21/19 11:47:45 PM,25.805,,,,
330,07/22/19 01:47:45 AM,25.319,,,,
331,07/22/19 03:47:45 AM,24.931,,,,
332,07/22/19 05:47:45 AM,24.545,,,,
333,07/22/19 07:47:45 AM,24.738,,,,
334,07/22/19 09:47:45 AM,26.585,,,,
335,07/22/19 11:47:45 AM,37.274,,,,
336,07/22/19 01:47:45 PM,36.079,,,,
337,07/22/19 03:47:45 PM,32.394,,,,
338,07/22/19 05:47:45 PM,31.472,,,,
339,07/22/19 07:47:45 PM,27.272,,,,
340,07/22/19 09:47:45 PM,26.000,,,,
341,07/22/19 11:47:45 PM,25.513,,,,
342,07/23/19 01:47:45 AM,25.319,,,,
343,07/23/19 03:47:45 AM,24.835,,,,
344,07/23/19 05:47:45 AM,24.351,,,,
345,07/23/19 07:47:45 AM,24.641,,,,
346,07/23/19 09:47:45 AM,26.683,,,,
347,07/23/19 11:47:45 AM,33.535,,,,
348,07/23/19 01:47:45 PM,33.743,,,,
349,07/23/19 03:47:45 PM,25.513,,,,
350,07/23/19 05:47:45 PM,22.908,,,,
351,07/23/19 07:47:45 PM,22.908,,,,
352,07/23/19 09:47:45 PM,22.812,,,,
353,07/23/19 11:47:45 PM,22.333,,,,
354,07/24/19 01:47:45 AM,21.760,,,,
355,07/24/19 03:47:45 AM,21.473,,,,
356,07/24/19 05:47:45 AM,20.996,,,,
357,07/24/19 07:47:45 AM,21.187,,,,
358,07/24/19 09:47:45 AM,23.100,,,,
359,07/24/19 11:47:45 AM,29.853,,,,
360,07/24/19 01:47:45 PM,31.676,,,,
361,07/24/19 03:47:45 PM,28.258,,,,
362,07/24/19 05:47:45 PM,28.159,,,,
363,07/24/19 07:47:45 PM,25.902,,,,
364,07/24/19 09:47:45 PM,24.641,,,,
365,07/24/19 11:47:45 PM,23.292,,,,
366,07/25/19 01:47:45 AM,22.333,,,,
367,07/25/19 03:47:45 AM,21.664,,,,
368,07/25/19 05:47:45 AM,20.996,,,,
369,07/25/19 07:47:45 AM,20.901,,,,
370,07/25/19 09:47:45 AM,23.196,,,,
371,07/25/19 11:47:45 AM,30.760,,,,
372,07/25/19 01:47:45 PM,30.659,,,,
373,07/25/19 03:47:45 PM,27.665,,,,
374,07/25/19 05:47:45 PM,27.370,,,,
375,07/25/19 07:47:45 PM,25.222,,,,
376,07/25/19 09:47:45 PM,23.484,,,,
377,07/25/19 11:47:45 PM,22.429,,,,
378,07/26/19 01:47:45 AM,21.855,,,,
379,07/26/19 03:47:45 AM,21.378,,,,
380,07/26/19 05:47:45 AM,20.996,,,,
381,07/26/19 07:47:45 AM,21.282,,,,
382,07/26/19 09:47:45 AM,23.869,,,,
383,07/26/19 11:47:45 AM,29.552,,,,
384,07/26/19 01:47:45 PM,30.457,,,,
385,07/26/19 03:47:45 PM,27.665,,,,
386,07/26/19 05:47:45 PM,27.370,,,,
387,07/26/19 07:47:45 PM,25.416,,,,
388,07/26/19 09:47:45 PM,23.100,,,,
389,07/26/19 11:47:45 PM,21.951,,,,
390,07/27/19 01:47:45 AM,21.282,,,,
391,07/27/19 03:47:45 AM,20.710,,,,
392,07/27/19 05:47:45 AM,20.234,,,,
393,07/27/19 07:47:45 AM,20.329,,,,
394,07/27/19 09:47:45 AM,22.812,,,,
395,07/27/19 11:47:45 AM,30.963,,,,
